Year,GEO,Population,Province
1995,Manitoba,1127720,MB
1995,New Brunswick,750907,NB
1995,Newfoundland and Labrador,568009,NL
1995,Nova Scotia,928296,NS
1995,Ontario,10931434,ON
1995,Quebec,7215800,QC
1995,Saskatchewan,1013529,SK
1995,Yukon,30336,YT
1996,Alberta,2770298,AB
1996,British Columbia,3862540,BC
1996,Canada,29569874,CA
1996,Manitoba,1132782,MB
1996,New Brunswick,752062,NB
1996,Newfoundland and Labrador,560576,NL
1996,Nova Scotia,930826,NS
1996,Ontario,11065044,ON
1996,Quebec,7243693,QC
1996,Saskatchewan,1018106,SK
1996,Yukon,31272,YT
1997,Alberta,2822523,AB
1997,British Columbia,3939702,BC
1997,Canada,29867572,CA
1997,Manitoba,1135655,MB
1997,New Brunswick,752385,NB
1997,Newfoundland and Labrador,551774,NL
1997,Nova Scotia,932330,NS
1997,Ontario,11208193,ON
1997,Quebec,7272062,QC
1997,Saskatchewan,1017834,SK
1997,Yukon,31661,YT
1998,Alberta,2887726,AB
1998,British Columbia,3981074,BC
1998,Canada,30123874,CA
1998,Manitoba,1136941,MB
1998,New Brunswick,751072,NB
1998,Newfoundland and Labrador,541500,NL
1998,Nova Scotia,932290,NS
1998,Ontario,11347200,ON
1998,Quebec,7294436,QC
1998,Saskatchewan,1017422,SK
1998,Yukon,31214,YT
1999,Alberta,2945712,AB
1999,British Columbia,4007763,BC
1999,Canada,30367051,CA
1999,Manitoba,1141378,MB
1999,New Brunswick,750362,NB
1999,Newfoundland and Labrador,534147,NL
1999,Nova Scotia,933496,NS
1999,Ontario,11484167,ON
1999,Quebec,7320816,QC
1999,Saskatchewan,1014926,SK
1999,Yukon,30686,YT
2000,Alberta,2996032,AB
2000,British Columbia,4037128,BC
2000,Canada,30647400,CA
2000,Manitoba,1146449,MB
2000,New Brunswick,750524,NB
2000,Newfoundland and Labrador,529012,NL
2000,Nova Scotia,934291,NS
2000,Ontario,11657472,ON
2000,Quebec,7353293,QC
2000,Saskatchewan,1008478,SK
2000,Yukon,30400,YT
2001,Alberta,3051622,AB
2001,British Columbia,4070963,BC
2001,Canada,30971291,CA
2001,Manitoba,1150434,MB
2001,New Brunswick,749656,NB
2001,Newfoundland and Labrador,523040,NL
2001,Nova Scotia,933043,NS
2001,Ontario,11864577,ON
2001,Quebec,7391230,QC
2001,Saskatchewan,1001165,SK
2001,Yukon,30128,YT
2002,Alberta,3118802,AB
2002,British Columbia,4097537,BC
2002,Canada,31307864,CA
2002,Manitoba,1155380,MB
2002,New Brunswick,749052,NB
2002,Newfoundland and Labrador,520097,NL
2002,Nova Scotia,934763,NS
2002,Ontario,12062059,ON
2002,Quebec,7435487,QC
2002,Saskatchewan,997428,SK
2002,Yukon,30227,YT
2003,Alberta,3176504,AB
2003,British Columbia,4121032,BC
2003,Canada,31601840,CA
2003,Manitoba,1162078,MB
2003,New Brunswick,749356,NB
2003,Newfoundland and Labrador,518746,NL
2003,Nova Scotia,936924,NS
2003,Ontario,12220929,ON
2003,Quebec,7480399,QC
2003,Saskatchewan,996270,SK
2003,Yukon,30790,YT
2004,Alberta,3233188,AB
2004,British Columbia,4152311,BC
2004,Canada,31899360,CA
2004,Manitoba,1171468,MB
2004,New Brunswick,749301,NB
2004,Newfoundland and Labrador,517701,NL
2004,Nova Scotia,939291,NS
2004,Ontario,12367225,ON
2004,Quebec,7529847,QC
2004,Saskatchewan,997002,SK
2004,Yukon,31466,YT
2005,Alberta,3310477,AB
2005,British Columbia,4191434,BC
2005,Canada,32202906,CA
2005,Manitoba,1177669,MB
2005,New Brunswick,748359,NB
2005,Newfoundland and Labrador,515027,NL
2005,Nova Scotia,938469,NS
2005,Ontario,12506784,ON
2005,Quebec,7576800,QC
2005,Saskatchewan,994406,SK
2005,Yukon,31915,YT
2006,Alberta,3411010,AB
2006,British Columbia,4236596,BC
2006,Canada,32529278,CA
2006,Manitoba,1182271,MB
2006,New Brunswick,745979,NB
2006,Newfoundland and Labrador,511108,NL
2006,Nova Scotia,937681,NS
2006,Ontario,12642187,ON
2006,Quebec,7626126,QC
2006,Saskatchewan,992287,SK
2006,Yukon,32224,YT
2007,Alberta,3502798,AB
2007,British Columbia,4286277,BC
2007,Canada,32848654,CA
2007,Manitoba,1188012,MB
2007,New Brunswick,745337,NB
2007,Newfoundland and Labrador,509690,NL
2007,Nova Scotia,935464,NS
2007,Ontario,12750762,ON
2007,Quebec,7685039,QC
2007,Saskatchewan,1000522,SK
2007,Yukon,32452,YT
2008,Alberta,3582868,AB
2008,British Columbia,4342957,BC
2008,Canada,33199483,CA
2008,Manitoba,1196342,MB
2008,New Brunswick,746864,NB
2008,Newfoundland and Labrador,511806,NL
2008,Nova Scotia,936079,NS
2008,Ontario,12866628,ON
2008,Quebec,7753266,QC
2008,Saskatchewan,1015902,SK
2008,Yukon,33024,YT
2009,Alberta,3667767,AB
2009,British Columbia,4404782,BC
2009,Canada,33582177,CA
2009,Manitoba,1206538,MB
2009,New Brunswick,749640,NB
2009,Newfoundland and Labrador,516158,NL
2009,Nova Scotia,938440,NS
2009,Ontario,12984262,ON
2009,Quebec,7833114,QC
2009,Saskatchewan,1032532,SK
2009,Yukon,33687,YT
2010,Alberta,3724157,AB
2010,British Columbia,4461068,BC
2010,Canada,33959478,CA
2010,Manitoba,1219001,MB
2010,New Brunswick,752656,NB
2010,Newfoundland and Labrador,521584,NL
2010,Nova Scotia,942048,NS
2010,Ontario,13118704,ON
2010,Quebec,7918616,QC
2010,Saskatchewan,1049311,SK
2010,Yukon,34410,YT
2011,Alberta,3778993,AB
2011,British Columbia,4500944,BC
2011,Canada,34298530,CA
2011,Manitoba,1231753,MB
2011,New Brunswick,755354,NB
2011,Newfoundland and Labrador,524690,NL
2011,Nova Scotia,944186,NS
2011,Ontario,13248544,ON
2011,Quebec,7993804,QC
2011,Saskatchewan,1064016,SK
2011,Yukon,35182,YT
2012,Alberta,3859303,AB
2012,British Columbia,4564452,BC
2012,Canada,34664148,CA
2012,Manitoba,1247151,MB
2012,New Brunswick,757648,NB
2012,Newfoundland and Labrador,526241,NL
2012,Nova Scotia,943304,NS
2012,Ontario,13376112,ON
2012,Quebec,8050860,QC
2012,Saskatchewan,1080479,SK
2012,Yukon,35988,YT
2013,Alberta,3962294,AB
2013,British Columbia,4629485,BC
2013,Canada,35032238,CA
2013,Manitoba,1261768,MB
2013,New Brunswick,758130,NB
2013,Newfoundland and Labrador,527304,NL
2013,Nova Scotia,940486,NS
2013,Ontario,13496707,ON
2013,Quebec,8100324,QC
2013,Saskatchewan,1096497,SK
2013,Yukon,36345,YT
2014,Alberta,4066082,AB
2014,British Columbia,4704528,BC
2014,Canada,35389234,CA
2014,Manitoba,1275546,MB
2014,New Brunswick,758783,NB
2014,Newfoundland and Labrador,527904,NL
2014,Nova Scotia,938316,NS
2014,Ontario,13606394,ON
2014,Quebec,8140808,QC
2014,Saskatchewan,1110323,SK
2014,Yukon,36817,YT
2015,Alberta,4138209,AB
2015,British Columbia,4769094,BC
2015,Canada,35676466,CA
2015,Manitoba,1290665,MB
2015,New Brunswick,759262,NB
2015,Newfoundland and Labrador,528303,NL
2015,Nova Scotia,937289,NS
2015,Ontario,13698942,ON
2015,Quebec,8171490,QC
2015,Saskatchewan,1120668,SK
2015,Yukon,37463,YT
2016,Alberta,4189192,AB
2016,British Columbia,4846628,BC
2016,Canada,36052529,CA
2016,Manitoba,1311169,MB
2016,New Brunswick,762784,NB
2016,Newfoundland and Labrador,529485,NL
2016,Nova Scotia,942263,NS
2016,Ontario,13853924,ON
2016,Quebec,8217370,QC
2016,Saskatchewan,1133608,SK
2016,Yukon,38264,YT
2017,Alberta,4232820,AB
2017,British Columbia,4925006,BC
2017,Canada,36494340,CA
2017,Manitoba,1331885,MB
2017,New Brunswick,766049,NB
2017,Newfoundland and Labrador,529942,NL
2017,Nova Scotia,951050,NS
2017,Ontario,14056827,ON
2017,Quebec,8284231,QC
2017,Saskatchewan,1145931,SK
2017,Yukon,39287,YT
2018,Alberta,4286099,AB
2018,British Columbia,5009884,BC
2018,Canada,37009339,CA
2018,Manitoba,1350414,MB
2018,New Brunswick,770036,NB
2018,Newfoundland and Labrador,528999,NL
2018,Nova Scotia,961061,NS
2018,Ontario,14297687,ON
2018,Quebec,8374735,QC
2018,Saskatchewan,1155438,SK
